"feature","group_cat","lower","upper","est"
"(Intercept)","Cubic",-32.4024485361767,6.94158257493287,-2.74351017411658
"(Intercept)","Hexagonal",-90.8942004830407,-20.5330433017361,NA
"(Intercept)","LiNb03",-3.03726645867121,64.1787022975763,NA
"(Intercept)","Tilted",6.54750271423511,58.4286730640308,6.14389464960406
"ARENofA","Cubic",0,0,0
"ARENofA","Hexagonal",0,0,NA
"ARENofA","LiNb03",0,11.0684520376246,NA
"ARENofA","Tilted",-0.339584095329958,0,0
"ARENofAprime","Cubic",0,0,0
"ARENofAprime","Hexagonal",0,0,NA
"ARENofAprime","LiNb03",0,1.99531761485759,NA
"ARENofAprime","Tilted",-4.27579184613417,0,0
"ARENofB","Cubic",-5.38871995043676,0,0
"ARENofB","Hexagonal",0,2.90395987186536,NA
"ARENofB","LiNb03",0,0,NA
"ARENofB","Tilted",0,2.43391066402601,0
"ARENofBprime","Cubic",-1.11017288249906,2.52186382557984,0
"ARENofBprime","Hexagonal",0,0,NA
"ARENofBprime","LiNb03",0,0,NA
"ARENofBprime","Tilted",-3.1011267305067,0.000613462204595552,0
"AtomicMassofA","Cubic",0,0.034631990253749,0
"AtomicMassofA","Hexagonal",0,0.00172530197909379,NA
"AtomicMassofA","LiNb03",-0.0286861266981326,0,NA
"AtomicMassofA","Tilted",-0.0267595182667547,0,0
"AtomicMassofAprime","Cubic",0,4.97774718665706e-06,0
"AtomicMassofAprime","Hexagonal",0,0.0348045268147349,NA
"AtomicMassofAprime","LiNb03",-0.0391519060242699,0,NA
"AtomicMassofAprime","Tilted",-3.44396040410793e-17,0,0
"AtomicMassofB","Cubic",-0.0408388461507634,0,0
"AtomicMassofB","Hexagonal",0,0.0192924288379762,NA
"AtomicMassofB","LiNb03",0,0,NA
"AtomicMassofB","Tilted",0,0.0190541653321223,0
"AtomicMassofBprime","Cubic",0,0.0298897642484545,0
"AtomicMassofBprime","Hexagonal",-0.00197500277300753,0,NA
"AtomicMassofBprime","LiNb03",-0.00449440135059794,0,NA
"AtomicMassofBprime","Tilted",-0.000318727389117632,0.00701102739194843,0
"BoilingPtofA","Cubic",0,0,0
"BoilingPtofA","Hexagonal",0,0,NA
"BoilingPtofA","LiNb03",0,0,NA
"BoilingPtofA","Tilted",-0.00170344644466037,0,0
"BoilingPtofAprime","Cubic",0,0,0
"BoilingPtofAprime","Hexagonal",0,0,NA
"BoilingPtofAprime","LiNb03",0,0,NA
"BoilingPtofAprime","Tilted",0,0,0
"BoilingPtofB","Cubic",-0.000213019302238654,0.000411806418317083,0
"BoilingPtofB","Hexagonal",-0.00055310625444665,0,NA
"BoilingPtofB","LiNb03",-0.0013048118059557,0,NA
"BoilingPtofB","Tilted",0,0.00182098740514562,0
"BoilingPtofBprime","Cubic",0,0.00108337138432174,0
"BoilingPtofBprime","Hexagonal",-0.000145765199929977,0,NA
"BoilingPtofBprime","LiNb03",-0.000349202681922464,0,NA
"BoilingPtofBprime","Tilted",-0.000127885465362632,4.22915006170498e-05,0
"CoefficientofLinearThermalExpansionatSpecofA","Cubic",0,0,0
"CoefficientofLinearThermalExpansionatSpecofA","Hexagonal",-0.000314517000796538,0,NA
"CoefficientofLinearThermalExpansionatSpecofA","LiNb03",0,0.0904806940232073,NA
"CoefficientofLinearThermalExpansionatSpecofA","Tilted",-0.0324198025902918,0,0
"CoefficientofLinearThermalExpansionatSpecofAprime","Cubic",0,0.131447380133063,0
"CoefficientofLinearThermalExpansionatSpecofAprime","Hexagonal",-0.0121410938878501,0,NA
"CoefficientofLinearThermalExpansionatSpecofAprime","LiNb03",0,0.0226307321947687,NA
"CoefficientofLinearThermalExpansionatSpecofAprime","Tilted",-0.169019465376304,0,0
"CoefficientofLinearThermalExpansionatSpecofB","Cubic",-0.000702082894763613,0.0662571873773021,0.00690344677578921
"CoefficientofLinearThermalExpansionatSpecofB","Hexagonal",-0.0528032682071792,0,NA
"CoefficientofLinearThermalExpansionatSpecofB","LiNb03",0,0.0838129478674547,NA
"CoefficientofLinearThermalExpansionatSpecofB","Tilted",-0.0683297171852217,0,0
"CoefficientofLinearThermalExpansionatSpecofBprime","Cubic",-0.211036039373451,0.0889141818665991,0
"CoefficientofLinearThermalExpansionatSpecofBprime","Hexagonal",-0.0135059448767016,0,NA
"CoefficientofLinearThermalExpansionatSpecofBprime","LiNb03",0,0.0184859238347793,NA
"CoefficientofLinearThermalExpansionatSpecofBprime","Tilted",-0.0263059167165454,0.131310006598785,0
"CrystalRadiusofA","Cubic",0,0,1.5660361785984
"CrystalRadiusofA","Hexagonal",0,0,NA
"CrystalRadiusofA","LiNb03",-0.0349447326256014,0,NA
"CrystalRadiusofA","Tilted",-18.3050849626993,0,0
"CrystalRadiusofAprime","Cubic",0,0,3.63916421891876e-14
"CrystalRadiusofAprime","Hexagonal",0,0,NA
"CrystalRadiusofAprime","LiNb03",-7.10987849649217,0,NA
"CrystalRadiusofAprime","Tilted",0,0,0
"CrystalRadiusofB","Cubic",-1.84312303795172,2.6642749463607,0
"CrystalRadiusofB","Hexagonal",-17.4662631399003,0,NA
"CrystalRadiusofB","LiNb03",0,0,NA
"CrystalRadiusofB","Tilted",0,6.01277682589074,0
"CrystalRadiusofBprime","Cubic",0,8.92325268923371,0
"CrystalRadiusofBprime","Hexagonal",-46.1890103551138,0,NA
"CrystalRadiusofBprime","LiNb03",0,0,NA
"CrystalRadiusofBprime","Tilted",0,8.92927522900059,0
"DensityatSpecofA","Cubic",0,0,0
"DensityatSpecofA","Hexagonal",0,0,NA
"DensityatSpecofA","LiNb03",0,0,NA
"DensityatSpecofA","Tilted",-0.058467125999895,0,0
"DensityatSpecofAprime","Cubic",0,0,0
"DensityatSpecofAprime","Hexagonal",0,0,NA
"DensityatSpecofAprime","LiNb03",0,0,NA
"DensityatSpecofAprime","Tilted",0,0,0
"DensityatSpecofB","Cubic",-0.128876746434615,0,0
"DensityatSpecofB","Hexagonal",0,0.104173040395003,NA
"DensityatSpecofB","LiNb03",-0.219988139733321,0,NA
"DensityatSpecofB","Tilted",0,0.148072063516731,0
"DensityatSpecofBprime","Cubic",-0.200118344515607,0,0
"DensityatSpecofBprime","Hexagonal",0,0.172394947317595,NA
"DensityatSpecofBprime","LiNb03",0,0,NA
"DensityatSpecofBprime","Tilted",-4.50381400451272e-05,0.0727610887863753,0
"EnthalpyofFusionofA","Cubic",0,0,0
"EnthalpyofFusionofA","Hexagonal",0,0,NA
"EnthalpyofFusionofA","LiNb03",0,0.0158005823239401,NA
"EnthalpyofFusionofA","Tilted",0,0,0
"EnthalpyofFusionofAprime","Cubic",0,0,0
"EnthalpyofFusionofAprime","Hexagonal",0,0,NA
"EnthalpyofFusionofAprime","LiNb03",0,0.0241301632354216,NA
"EnthalpyofFusionofAprime","Tilted",0,0,0
"EnthalpyofFusionofB","Cubic",-0.00373438570575976,0.00500789034625808,-0.000714354953994531
"EnthalpyofFusionofB","Hexagonal",0,0.0087163438099274,NA
"EnthalpyofFusionofB","LiNb03",-0.00567653625062611,0,NA
"EnthalpyofFusionofB","Tilted",-0.00281297719126129,0.00344184334783084,0
"EnthalpyofFusionofBprime","Cubic",-0.000124841239780171,0.00536601554322143,0
