Compound,A,OxidationStateofA,Aprime,OxidationStateofAprime,B,OxidationStateofB,Bprime,OxidationStateofBprime,X,OxidationStateofX,Xprime,OxidationStateofXprime,GroupCat,Temperature,Z,Volume,CalculatedDensity,SpaceGroup,SpaceGroupNumber,TiltAll_1,TiltAll_2,TiltAll_3,TiltAll_4,TiltAll_5,TiltAll_6,ZofX,ZofXprime,ZofB,ZofBprime,ZofA,ZofAprime,AtomicMassofX,AtomicMassofXprime,AtomicMassofB,AtomicMassofBprime,AtomicMassofA,AtomicMassofAprime,ARENofX,ARENofXprime,ARENofB,ARENofBprime,ARENofA,ARENofAprime,r_XIIofA,r_XIIofAprime,r_VIofBprime,r_VIofB,rofX,rofXprime,r_VIIofB,CrystalRadiusofA,CrystalRadiusofAprime,CrystalRadiusofBprime,CrystalRadiusofX,CrystalRadiusofXprime,CrystalRadiusofB,GroupofB,GroupofA,GroupofAprime,GroupofBprime,GroupofX,GroupofXprime,IonicRadiiofX,IonicRadiiofXprime,IonicRadiiofB,IonicRadiiofBprime,IonicRadiiofA,IonicRadiiofAprime,IonizationPotentialofX,IonizationPotentialofXprime,IonizationPotentialofB,IonizationPotentialofBprime,IonizationPotentialofA,IonizationPotentialofAprime,MendeleevNumberofX,MendeleevNumberofXprime,MendeleevNumberofB,MendeleevNumberofBprime,MendeleevNumberofA,MendeleevNumberofAprime,PaulingENofX,PaulingENofXprime,PaulingENofB,PaulingENofBprime,PaulingENofA,PaulingENofAprime,PeriodofX,PeriodofXprime,PeriodofB,PeriodofBprime,PeriodofA,PeriodofAprime,ValenceElectronsofX,ValenceElectronsofXprime,ValenceElectronsofB,ValenceElectronsofBprime,ValenceElectronsofA,ValenceElectronsofAprime,ZungerRadiiofX,ZungerRadiiofXprime,ZungerRadiiofB,ZungerRadiiofBprime,ZungerRadiiofA,ZungerRadiiofAprime,BoilingPtofA,BoilingPtofAprime,BoilingPtofB,BoilingPtofX,BoilingPtofXprime,BoilingPtofBprime,CoefficientofLinearThermalExpansionatSpecofA,CoefficientofLinearThermalExpansionatSpecofAprime,CoefficientofLinearThermalExpansionatSpecofB,CoefficientofLinearThermalExpansionatSpecofBprime,DensityatSpecofA,DensityatSpecofAprime,DensityatSpecofB,DensityatSpecofBprime,EnthalpyofFusionofA,EnthalpyofFusionofAprime,EnthalpyofFusionofB,EnthalpyofFusionofBprime,MeltingPtofA,MeltingPtofAprime,MeltingPtofB,MeltingPtofBprime,SpecificHeatCapacityofA,SpecificHeatCapacityofAprime,SpecificHeatCapacityofB,SpecificHeatCapacityofBprime,ThermalHeatConductivityofA,ThermalHeatConductivityofAprime,ThermalHeatConductivityofB,ThermalHeatConductivityofBprime,rA,rB,rX,ToleranceBVP,Vc
Ag2VAsO6,Ag,1,Ag,1,V,5,As,5,O,-2,O,-2,16,298,2,261.86,5.55,P-1,2,8,9,12,12,13,19,8,8,23,33,47,47,15.9994,15.9994,50.9415,74.9216,107.8682,107.8682,3.5,3.5,1.45,2.02,1.42,1.42,1.551,1.551,0.624,0.66,1.21,1.21,0.717,1.29,1.29,0.6,1.26,1.26,0.68,5,11,11,15,16,16,1.4,1.4,0.54,0.46,1.15,1.15,13.61806,13.61806,6.7462,9.7886,7.5762,7.5762,87,87,46,84,65,65,3.44,3.44,1.63,2.18,1.93,1.93,2,2,4,4,5,5,2,2,5,6,2,2,0.285,0.285,1.09,0.67,1.045,1.045,2162,2162,3407,-182.962,-182.962,-300,18.9,18.9,8.4,-300,10.5,10.5,6,-300,104.6,104.6,422,-300,961.78,961.78,1910,-300,0.235,0.235,0.489,-300,4.29,4.29,0.307,-300,1.551,0.642,1.21,1.054169451,126.0588248
Ag2VPO6,Ag,1,Ag,1,V,5,P,5,O,-2,O,-2,16,297,4,493.22,5.3,C12/m1,12,-300,0,0,0,0,0,8,8,23,15,47,47,15.9994,15.9994,50.9415,30.973761,107.8682,107.8682,3.5,3.5,1.45,2.06,1.42,1.42,1.551,1.551,0.474,0.66,1.21,1.21,0.717,1.29,1.29,0.52,1.26,1.26,0.68,5,11,11,15,16,16,1.4,1.4,0.54,0.38,1.15,1.15,13.61806,13.61806,6.7462,10.48669,7.5762,7.5762,87,87,46,83,65,65,3.44,3.44,1.63,2.19,1.93,1.93,2,2,4,3,5,5,2,2,5,5,2,2,0.285,0.285,1.09,0.6,1.045,1.045,2162,2162,3407,-182.962,-182.962,-300,18.9,18.9,8.4,-300,10.5,10.5,6,-300,104.6,104.6,422,-300,961.78,961.78,1910,-300,0.235,0.235,0.489,-300,4.29,4.29,0.307,-300,1.551,0.567,1.21,1.09866169,130.9212991
Ag3AlF6,Ag,1,Ag,1,Ag,1,Al,3,F,-1,F,-1,NaN,NaN,NaN,NaN,NaN,,-300,-300,0,0,0,0,0,9,9,47,13,47,47,18.9984032,18.9984032,107.8682,26.981538,107.8682,107.8682,4.1,4.1,1.42,1.47,1.42,1.42,1.551,1.551,0.666,1.295,1.145,1.145,1.352,1.29,1.29,0.675,1.19,1.19,1.29,11,11,11,13,17,17,1.33,1.33,1.15,0.54,1.15,1.15,17.42282,17.42282,7.5762,5.98577,7.5762,7.5762,93,93,65,73,65,65,3.98,3.98,1.93,1.61,1.93,1.93,2,2,5,3,5,5,1,1,2,3,2,2,0.25,0.25,1.045,0.77,1.045,1.045,2162,2162,2162,-188.11,-188.11,2519,18.9,18.9,18.9,23.1,10.5,10.5,10.5,2.7,104.6,104.6,104.6,399.9,961.78,961.78,961.78,660.32,0.235,0.235,0.235,0.904,4.29,4.29,4.29,2.37,1.551,0.9805,1.145,0.896899498,12.70874608
Ag3CoF6,Ag,1,Ag,1,Ag,1,Co,3,F,-1,F,-1,NaN,NaN,NaN,NaN,NaN,,-300,-300,0,0,0,0,0,9,9,47,27,47,47,18.9984032,18.9984032,107.8682,58.9332,107.8682,107.8682,4.1,4.1,1.42,1.7,1.42,1.42,1.551,1.551,0.683,1.295,1.145,1.145,1.352,1.29,1.29,0.75,1.19,1.19,1.29,11,11,11,9,17,17,1.33,1.33,1.15,0.55,1.15,1.15,17.42282,17.42282,7.5762,7.881,7.5762,7.5762,93,93,65,58,65,65,3.98,3.98,1.93,1.88,1.93,1.93,2,2,5,4,5,5,1,1,2,4,2,2,0.25,0.25,1.045,0.92,1.045,1.045,2162,2162,2162,-188.11,-188.11,2927,18.9,18.9,18.9,13,10.5,10.5,10.5,8.86,104.6,104.6,104.6,272.5,961.78,961.78,961.78,1495,0.235,0.235,0.235,0.421,4.29,4.29,4.29,1,1.551,0.989,1.145,0.89332703,12.66396212
Ag3CrF6,Ag,1,Ag,1,Ag,1,Cr,3,F,-1,F,-1,NaN,NaN,NaN,NaN,NaN,,-300,-300,0,0,0,0,0,9,9,47,24,47,47,18.9984032,18.9984032,107.8682,51.9961,107.8682,107.8682,4.1,4.1,1.42,1.56,1.42,1.42,1.551,1.551,0.77,1.295,1.145,1.145,1.352,1.29,1.29,0.755,1.19,1.19,1.29,11,11,11,6,17,17,1.33,1.33,1.15,0.62,1.15,1.15,17.42282,17.42282,7.5762,6.7665,7.5762,7.5762,93,93,65,49,65,65,3.98,3.98,1.93,1.66,1.93,1.93,2,2,5,4,5,5,1,1,2,6,2,2,0.25,0.25,1.045,1.07,1.045,1.045,2162,2162,2162,-188.11,-188.11,2671,18.9,18.9,18.9,4.9,10.5,10.5,10.5,7.15,104.6,104.6,104.6,404,961.78,961.78,961.78,1907,0.235,0.235,0.235,0.45,4.29,4.29,4.29,0.937,1.551,1.0325,1.145,0.875481002,12.4396269
Ag3FeF6,Ag,1,Ag,1,Ag,1,Fe,3,F,-1,F,-1,NaN,NaN,NaN,NaN,NaN,,-300,-300,0,0,0,0,0,9,9,47,26,47,47,18.9984032,18.9984032,107.8682,55.845,107.8682,107.8682,4.1,4.1,1.42,1.64,1.42,1.42,1.551,1.551,0.805,1.295,1.145,1.145,1.352,1.29,1.29,0.69,1.19,1.19,1.29,11,11,11,8,17,17,1.33,1.33,1.15,0.55,1.15,1.15,17.42282,17.42282,7.5762,7.9024,7.5762,7.5762,93,93,65,55,65,65,3.98,3.98,1.93,1.83,1.93,1.93,2,2,5,4,5,5,1,1,2,3,2,2,0.25,0.25,1.045,0.95,1.045,1.045,2162,2162,2162,-188.11,-188.11,2861,18.9,18.9,18.9,11.8,10.5,10.5,10.5,7.87,104.6,104.6,104.6,247.3,961.78,961.78,961.78,1538,0.235,0.235,0.235,0.449,4.29,4.29,4.29,0.802,1.551,1.05,1.145,0.868501085,12.35160312
Ag3GaF6,Ag,1,Ag,1,Ag,1,Ga,3,F,-1,F,-1,NaN,NaN,NaN,NaN,NaN,,-300,-300,0,0,0,0,0,9,9,47,31,47,47,18.9984032,18.9984032,107.8682,69.723,107.8682,107.8682,4.1,4.1,1.42,1.82,1.42,1.42,1.551,1.551,0.776,1.295,1.145,1.145,1.352,1.29,1.29,0.76,1.19,1.19,1.29,11,11,11,13,17,17,1.33,1.33,1.15,0.62,1.15,1.15,17.42282,17.42282,7.5762,5.9993,7.5762,7.5762,93,93,65,74,65,65,3.98,3.98,1.93,1.81,1.93,1.93,2,2,5,4,5,5,1,1,2,4,2,2,0.25,0.25,1.045,0.76,1.045,1.045,2162,2162,2162,-188.11,-188.11,2204,18.9,18.9,18.9,18,10.5,10.5,10.5,5.91,104.6,104.6,104.6,80,961.78,961.78,961.78,29.767,0.235,0.235,0.235,0.374,4.29,4.29,4.29,0.406,1.551,1.0355,1.145,0.874276488,12.42444811
Ag3InF6,Ag,1,Ag,1,Ag,1,In,3,F,-1,F,-1,NaN,NaN,NaN,NaN,NaN,,-300,-300,0,0,0,0,0,9,9,47,49,47,47,18.9984032,18.9984032,107.8682,114.818,107.8682,107.8682,4.1,4.1,1.42,1.49,1.42,1.42,1.551,1.551,0.948,1.295,1.145,1.145,1.352,1.29,1.29,0.94,1.19,1.19,1.29,11,11,11,13,17,17,1.33,1.33,1.15,0.8,1.15,1.15,17.42282,17.42282,7.5762,5.78636,7.5762,7.5762,93,93,65,75,65,65,3.98,3.98,1.93,1.78,1.93,1.93,2,2,5,5,5,5,1,1,2,4,2,2,0.25,0.25,1.045,0.94,1.045,1.045,2162,2162,2162,-188.11,-188.11,2072,18.9,18.9,18.9,32.1,10.5,10.5,10.5,7.31,104.6,104.6,104.6,28.6,961.78,961.78,961.78,156.6,0.235,0.235,0.235,0.233,4.29,4.29,4.29,0.816,1.551,1.1215,1.145,0.84110297,12.00454181
Ag3MoO3F3,Ag,1,Ag,1,Ag,1,Mo,6,O,-2,F,-1,5,10,2,285.17,6.1,P121/N1,-300,-300,0,0,0,0,0,8,9,47,42,47,47,15.9994,18.9984032,107.8682,95.94,107.8682,107.8682,3.5,4.1,1.42,1.3,1.42,1.42,1.551,1.551,0.7,1.295,1.21,1.145,1.352,1.29,1.29,0.73,1.26,1.19,1.29,11,11,11,6,16,17,1.4,1.33,1.15,0.59,1.15,1.15,13.61806,17.42282,7.5762,7.09243,7.5762,7.5762,87,93,65,50,65,65,3.44,3.98,1.93,2.16,1.93,1.93,2,2,5,5,5,5,2,1,2,6,2,2,0.285,0.25,1.045,1.22,1.045,1.045,2162,2162,2162,-182.962,-188.11,4639,18.9,18.9,18.9,4.8,10.5,10.5,10.5,10.2,104.6,104.6,104.6,390.7,961.78,961.78,961.78,2622,0.235,0.235,0.235,0.251,4.29,4.29,4.29,1.38,1.551,0.9975,1.1775,0.887053266,25.23898535
Ag3VF6,Ag,1,Ag,1,Ag,1,V,3,F,-1,F,-1,NaN,NaN,NaN,NaN,NaN,,-300,-300,0,0,0,0,0,9,9,47,23,47,47,18.9984032,18.9984032,107.8682,50.9415,107.8682,107.8682,4.1,4.1,1.42,1.45,1.42,1.42,1.551,1.551,0.789,1.295,1.145,1.145,1.352,1.29,1.29,0.78,1.19,1.19,1.29,11,11,11,5,17,17,1.33,1.33,1.15,0.64,1.15,1.15,17.42282,17.42282,7.5762,6.7462,7.5762,7.5762,93,93,65,46,65,65,3.98,3.98,1.93,1.63,1.93,1.93,2,2,5,4,5,5,1,1,2,5,2,2,0.25,0.25,1.045,1.09,1.045,1.045,2162,2162,2162,-188.11,-188.11,3407,18.9,18.9,18.9,8.4,10.5,10.5,10.5,6,104.6,104.6,104.6,422,961.78,961.78,961.78,1910,0.235,0.235,0.235,0.489,4.29,4.29,4.29,0.307,1.551,1.042,1.145,0.871678044,12.39168749
