Compound,A,OxidationStateofA,Aprime,OxidationStateofAprime,B,OxidationStateofB,Bprime,OxidationStateofBprime,X,OxidationStateofX,Xprime,OxidationStateofXprime,GroupCat,Temperature,Z,Volume,CalculatedDensity,SpaceGroup,SpaceGroupNumber,TiltAll_1,TiltAll_2,TiltAll_3,TiltAll_4,TiltAll_5,TiltAll_6,ZofX,ZofXprime,ZofB,ZofBprime,ZofA,ZofAprime,AtomicMassofX,AtomicMassofXprime,AtomicMassofB,AtomicMassofBprime,AtomicMassofA,AtomicMassofAprime,ARENofX,ARENofXprime,ARENofB,ARENofBprime,ARENofA,ARENofAprime,r_XIIofA,r_XIIofAprime,r_VIofBprime,r_VIofB,rofX,rofXprime,CrystalRadiusofA,CrystalRadiusofAprime,CrystalRadiusofBprime,CrystalRadiusofX,CrystalRadiusofXprime,CrystalRadiusofB,GroupofB,GroupofA,GroupofAprime,GroupofBprime,GroupofX,GroupofXprime,IonicRadiiofX,IonicRadiiofXprime,IonicRadiiofB,IonicRadiiofBprime,IonicRadiiofA,IonicRadiiofAprime,IonizationPotentialofX,IonizationPotentialofXprime,IonizationPotentialofB,IonizationPotentialofBprime,IonizationPotentialofA,IonizationPotentialofAprime,MendeleevNumberofX,MendeleevNumberofXprime,MendeleevNumberofB,MendeleevNumberofBprime,MendeleevNumberofA,MendeleevNumberofAprime,PaulingENofX,PaulingENofXprime,PaulingENofB,PaulingENofBprime,PaulingENofA,PaulingENofAprime,PeriodofX,PeriodofXprime,PeriodofB,PeriodofBprime,PeriodofA,PeriodofAprime,ValenceElectronsofX,ValenceElectronsofXprime,ValenceElectronsofB,ValenceElectronsofBprime,ValenceElectronsofA,ValenceElectronsofAprime,ZungerRadiiofX,ZungerRadiiofXprime,ZungerRadiiofB,ZungerRadiiofBprime,ZungerRadiiofA,ZungerRadiiofAprime,BoilingPtofA,BoilingPtofAprime,BoilingPtofB,BoilingPtofX,BoilingPtofXprime,BoilingPtofBprime,CoefficientofLinearThermalExpansionatSpecofA,CoefficientofLinearThermalExpansionatSpecofAprime,CoefficientofLinearThermalExpansionatSpecofB,CoefficientofLinearThermalExpansionatSpecofBprime,DensityatSpecofA,DensityatSpecofAprime,DensityatSpecofB,DensityatSpecofBprime,EnthalpyofFusionofA,EnthalpyofFusionofAprime,EnthalpyofFusionofB,EnthalpyofFusionofBprime,MeltingPtofA,MeltingPtofAprime,MeltingPtofB,MeltingPtofBprime,SpecificHeatCapacityofA,SpecificHeatCapacityofAprime,SpecificHeatCapacityofB,SpecificHeatCapacityofBprime,ThermalHeatConductivityofA,ThermalHeatConductivityofAprime,ThermalHeatConductivityofB,ThermalHeatConductivityofBprime,rA,rB,rX,ToleranceBVP
Ba2SrUO6,Ba,2,Ba,2,Sr,2,U,6,O,-2,O,-2,5,313,2,345.01,6.7,P121/n1,14,10,11,0,0,0,0,8,8,38,92,56,56,15.9994,15.9994,87.62,238.02891,137.327,137.327,3.5,3.5,0.99,-300,0.97,0.97,1.738,1.738,0.84,1.314,1.21,1.21,1.49,1.49,0.87,1.26,1.26,1.32,2,2,2,3,16,16,1.4,1.4,1.18,0.73,1.35,1.35,13.61806,13.61806,5.6949,6.19405,5.2117,5.2117,87,87,8,20,9,9,3.44,3.44,0.95,1.7,0.89,0.89,2,2,5,7,6,6,2,2,3,6,3,3,0.285,0.285,1.42,-300,1.515,1.515,1897,1897,1382,-182.962,-182.962,4131,20.6,20.6,22.5,13.9,3.62,3.62,2.64,19.1,51.8,51.8,84.8,38.4,727,727,777,1135,0.205,0.205,0.306,0.116,0.184,0.184,0.353,0.276,1.738,1.077,1.21,0.911478265
AgNbO3,Ag,1,Ag,1,Nb,5,Nb,5,O,-2,O,-2,5,303,8,482.96,6.84,Pbcm,57,-300,0,0,0,0,0,8,8,41,41,47,47,15.9994,15.9994,92.90638,92.90638,107.8682,107.8682,3.5,3.5,1.23,1.23,1.42,1.42,1.551,1.551,0.768,0.768,1.21,1.21,1.29,1.29,0.78,1.26,1.26,0.78,5,11,11,5,16,16,1.4,1.4,0.64,0.64,1.15,1.15,13.61806,13.61806,6.75885,6.75885,7.5762,7.5762,87,87,47,47,65,65,3.44,3.44,1.6,1.6,1.93,1.93,2,2,5,5,5,5,2,2,6,6,2,2,0.285,0.285,1.23,1.23,1.045,1.045,2162,2162,4744,-182.962,-182.962,4744,18.9,18.9,7.3,7.3,10.5,10.5,8.57,8.57,104.6,104.6,323,323,961.78,961.78,2477,2477,0.235,0.235,0.265,0.265,4.29,4.29,0.537,0.537,1.551,0.768,1.21,0.987018111
Sr2LiReSe6,Sr,2,Sr,2,Li,1,Re,7,Se,-2,Se,-2,16,303,2,244.07,6.32,I4/m,87,22,0,0,0,0,0,34,34,3,75,38,38,78.96,78.96,6.941,186.207,87.62,87.62,2.48,2.48,0.97,1.46,0.99,0.99,1.571,1.571,0.7,0.919,-300,-300,1.32,1.32,0.67,1.84,1.84,0.9,1,2,2,7,16,16,1.98,1.98,0.76,0.53,1.18,1.18,9.75238,9.75238,5.39172,7.8335,5.6949,5.6949,89,89,1,54,8,8,2.55,2.55,0.98,1.9,0.95,0.95,4,4,2,6,5,5,5,5,1,6,3,3,0.615,0.615,0.985,1.19,1.42,1.42,1382,1382,1342,685,685,5596,22.5,22.5,46,6.2,2.64,2.64,0.534,20.8,84.8,84.8,432,324.5,777,777,180.5,3186,0.306,0.306,3.57,0.137,0.353,0.353,0.847,0.479,1.571,0.8095,-300,0.705307052
Ba2BiIrO6,Ba,2,Ba,2,Bi,3,Ir,5,O,-2,O,-2,5,300,3,460.56,8.36,R-3H,-300,-300,0,0,0,0,0,8,8,83,77,56,56,15.9994,15.9994,208.98038,192.217,137.327,137.327,3.5,3.5,1.67,1.55,0.97,0.97,1.738,1.738,0.773,1.14,1.21,1.21,1.49,1.49,0.71,1.26,1.26,1.17,15,2,2,9,16,16,1.4,1.4,1.03,0.57,1.35,1.35,13.61806,13.61806,7.2856,8.967,5.2117,5.2117,87,87,86,60,9,9,3.44,3.44,1.9,2.2,0.89,0.89,2,2,6,6,6,6,2,2,6,6,3,3,0.285,0.285,0.92,1.16,1.515,1.515,1897,1897,1564,-182.962,-182.962,4428,20.6,20.6,13.4,6.4,3.62,3.62,9.79,22.5,51.8,51.8,53.3,213.9,727,727,271.4,2446,0.205,0.205,0.122,0.131,0.184,0.184,0.0787,1.47,1.738,0.9565,1.21,0.962174378
Ba2HoTaO6,Ba,2,Ba,2,Ho,3,Ta,5,O,-2,O,-2,3,300,4,594.29,8.01,Fm-3m,225,23,0,0,0,0,0,8,8,67,73,56,56,15.9994,15.9994,164.93032,180.9479,137.327,137.327,3.5,3.5,-300,1.33,0.97,0.97,1.738,1.738,0.777,1.071,1.21,1.21,1.49,1.49,0.78,1.26,1.26,1.041,3,2,2,5,16,16,1.4,1.4,0.901,0.64,1.35,1.35,13.61806,13.61806,6.0215,7.5496,5.2117,5.2117,87,87,33,48,9,9,3.44,3.44,1.23,1.5,0.89,0.89,2,2,6,6,6,6,2,2,3,6,3,3,0.285,0.285,-300,1.28,1.515,1.515,1897,1897,2700,-182.962,-182.962,5458,20.6,20.6,11.2,6.3,3.62,3.62,8.8,16.4,51.8,51.8,103,202.1,727,727,1474,3007,0.205,0.205,0.165,0.14,0.184,0.184,0.162,0.575,1.738,0.924,1.21,0.976827925
Ba2InTaO6,Ba,2,Ba,2,In,3,Ta,5,O,-2,O,-2,3,300,4,568.24,7.79,Fm-3m,225,23,0,0,0,0,0,8,8,49,73,56,56,15.9994,15.9994,114.818,180.9479,137.327,137.327,3.5,3.5,1.49,1.33,0.97,0.97,1.738,1.738,0.777,0.948,1.21,1.21,1.49,1.49,0.78,1.26,1.26,0.94,13,2,2,5,16,16,1.4,1.4,0.8,0.64,1.35,1.35,13.61806,13.61806,5.78636,7.5496,5.2117,5.2117,87,87,75,48,9,9,3.44,3.44,1.78,1.5,0.89,0.89,2,2,5,6,6,6,2,2,4,6,3,3,0.285,0.285,0.94,1.28,1.515,1.515,1897,1897,2072,-182.962,-182.962,5458,20.6,20.6,32.1,6.3,3.62,3.62,7.31,16.4,51.8,51.8,28.6,202.1,727,727,156.6,3007,0.205,0.205,0.233,0.14,0.184,0.184,0.816,0.575,1.738,0.8625,1.21,1.005814616
Ba2LaNbO6,Ba,2,Ba,2,La,3,Nb,5,O,-2,O,-2,NaN,300,2,312.11,6.41,C12/m1,12,-300,0,0,0,0,0,8,8,57,41,56,56,15.9994,15.9994,138.9055,92.90638,137.327,137.327,3.5,3.5,1.08,1.23,0.97,0.97,1.738,1.738,0.768,1.218,1.21,1.21,1.49,1.49,0.78,1.26,1.26,1.172,3,2,2,5,16,16,1.4,1.4,1.03,0.64,1.35,1.35,13.61806,13.61806,5.5769,6.75885,5.2117,5.2117,87,87,13,47,9,9,3.44,3.44,1.1,1.6,0.89,0.89,2,2,6,5,6,6,2,2,4,6,3,3,0.285,0.285,1.375,1.23,1.515,1.515,1897,1897,3464,-182.962,-182.962,4744,20.6,20.6,12.1,7.3,3.62,3.62,6.15,8.57,51.8,51.8,44.6,323,727,727,918,2477,0.205,0.205,0.195,0.265,0.184,0.184,0.134,0.537,1.738,0.993,1.21,0.946232769
Ba2LaUO6,Ba,2,Ba,2,La,3,U,5,O,-2,O,-2,5,300,2,349.48,7.1,P121/n1,14,10,11,0,0,0,0,8,8,57,92,56,56,15.9994,15.9994,138.9055,238.02891,137.327,137.327,3.5,3.5,1.08,-300,0.97,0.97,1.738,1.738,0.932,1.218,1.21,1.21,1.49,1.49,0.9,1.26,1.26,1.172,3,2,2,3,16,16,1.4,1.4,1.03,0.76,1.35,1.35,13.61806,13.61806,5.5769,6.19405,5.2117,5.2117,87,87,13,20,9,9,3.44,3.44,1.1,1.7,0.89,0.89,2,2,6,7,6,6,2,2,4,6,3,3,0.285,0.285,1.375,-300,1.515,1.515,1897,1897,3464,-182.962,-182.962,4131,20.6,20.6,12.1,13.9,3.62,3.62,6.15,19.1,51.8,51.8,44.6,38.4,727,727,918,1135,0.205,0.205,0.195,0.116,0.184,0.184,0.134,0.276,1.738,1.075,1.21,0.912276057
Ba2NdUO6,Ba,2,Ba,2,Nd,3,U,5,O,-2,O,-2,5,300,2,341.31,7.33,P121/n1,14,10,11,0,0,0,0,8,8,60,92,56,56,15.9994,15.9994,144.24,238.02891,137.327,137.327,3.5,3.5,-300,-300,0.97,0.97,1.738,1.738,0.932,1.151,1.21,1.21,1.49,1.49,0.9,1.26,1.26,1.123,3,2,2,3,16,16,1.4,1.4,0.98,0.76,1.35,1.35,13.61806,13.61806,5.525,6.19405,5.2117,5.2117,87,87,19,20,9,9,3.44,3.44,1.14,1.7,0.89,0.89,2,2,6,7,6,6,2,2,3,6,3,3,0.285,0.285,-300,-300,1.515,1.515,1897,1897,3074,-182.962,-182.962,4131,20.6,20.6,9.6,13.9,3.62,3.62,7.01,19.1,51.8,51.8,49.5,38.4,727,727,1021,1135,0.205,0.205,0.191,0.116,0.184,0.184,0.165,0.276,1.738,1.0415,1.21,0.925849785
Ba2SmUO6,Ba,2,Ba,2,Sm,3,U,5,O,-2,O,-2,5,300,2,337.56,7.47,P121/n1,14,10,11,0,0,0,0,8,8,62,92,56,56,15.9994,15.9994,150.36,238.02891,137.327,137.327,3.5,3.5,-300,-300,0.97,0.97,1.738,1.738,0.932,1.134,1.21,1.21,1.49,1.49,0.9,1.26,1.26,1.098,3,2,2,3,16,16,1.4,1.4,0.96,0.76,1.35,1.35,13.61806,13.61806,5.6436,6.19405,5.2117,5.2117,87,87,23,20,9,9,3.44,3.44,1.17,1.7,0.89,0.89,2,2,6,7,6,6,2,2,3,6,3,3,0.285,0.285,-300,-300,1.515,1.515,1897,1897,1794,-182.962,-182.962,4131,20.6,20.6,12.7,13.9,3.62,3.62,7.52,19.1,51.8,51.8,57.3,38.4,727,727,1074,1135,0.205,0.205,0.196,0.116,0.184,0.184,0.133,0.276,1.738,1.033,1.21,0.929358355
