Compound,GroupCat,AtomicMassofX,AtomicMassofXprime,AtomicMassofB,AtomicMassofBprime,AtomicMassofA,AtomicMassofAprime,ARENofX,ARENofXprime,ARENofB,ARENofBprime,ARENofA,ARENofAprime,r_XIIofA,r_XIIofAprime,r_VIofBprime,r_VIofB,rofX,rofXprime,IonizationPotentialofX,IonizationPotentialofXprime,IonizationPotentialofB,IonizationPotentialofBprime,IonizationPotentialofA,IonizationPotentialofAprime,PaulingENofX,PaulingENofXprime,PaulingENofB,PaulingENofBprime,PaulingENofA,PaulingENofAprime,BoilingPtofA,BoilingPtofAprime,BoilingPtofB,BoilingPtofBprime,CoefficientofLinearThermalExpansionatSpecofA,CoefficientofLinearThermalExpansionatSpecofAprime,CoefficientofLinearThermalExpansionatSpecofB,CoefficientofLinearThermalExpansionatSpecofBprime,DensityatSpecofA,DensityatSpecofAprime,DensityatSpecofB,DensityatSpecofBprime,EnthalpyofFusionofA,EnthalpyofFusionofAprime,EnthalpyofFusionofB,EnthalpyofFusionofBprime,MeltingPtofA,MeltingPtofAprime,MeltingPtofB,MeltingPtofBprime,SpecificHeatCapacityofA,SpecificHeatCapacityofAprime,SpecificHeatCapacityofB,SpecificHeatCapacityofBprime,ThermalHeatConductivityofA,ThermalHeatConductivityofAprime,ThermalHeatConductivityofB,ThermalHeatConductivityofBprime,ToleranceBVP
Ba2SrUO6,5,15.9994,15.9994,87.62,238.02891,137.327,137.327,3.5,3.5,0.99,-300,0.97,0.97,1.738,1.738,0.84,1.314,1.21,1.21,13.61806,13.61806,5.6949,6.19405,5.2117,5.2117,3.44,3.44,0.95,1.7,0.89,0.89,1897,1897,1382,4131,20.6,20.6,22.5,13.9,3.62,3.62,2.64,19.1,51.8,51.8,84.8,38.4,727,727,777,1135,0.205,0.205,0.306,0.116,0.184,0.184,0.353,0.276,0.911478265
AgNbO3,5,15.9994,15.9994,92.90638,92.90638,107.8682,107.8682,3.5,3.5,1.23,1.23,1.42,1.42,1.551,1.551,0.768,0.768,1.21,1.21,13.61806,13.61806,6.75885,6.75885,7.5762,7.5762,3.44,3.44,1.6,1.6,1.93,1.93,2162,2162,4744,4744,18.9,18.9,7.3,7.3,10.5,10.5,8.57,8.57,104.6,104.6,323,323,961.78,961.78,2477,2477,0.235,0.235,0.265,0.265,4.29,4.29,0.537,0.537,0.987018111
Sr2LiReSe6,16,78.96,78.96,6.941,186.207,87.62,87.62,2.48,2.48,0.97,1.46,0.99,0.99,1.571,1.571,0.7,0.919,-300,-300,9.75238,9.75238,5.39172,7.8335,5.6949,5.6949,2.55,2.55,0.98,1.9,0.95,0.95,1382,1382,1342,5596,22.5,22.5,46,6.2,2.64,2.64,0.534,20.8,84.8,84.8,432,324.5,777,777,180.5,3186,0.306,0.306,3.57,0.137,0.353,0.353,0.847,0.479,0.705307052
Ba2BiIrO6,5,15.9994,15.9994,208.98038,192.217,137.327,137.327,3.5,3.5,1.67,1.55,0.97,0.97,1.738,1.738,0.773,1.14,1.21,1.21,13.61806,13.61806,7.2856,8.967,5.2117,5.2117,3.44,3.44,1.9,2.2,0.89,0.89,1897,1897,1564,4428,20.6,20.6,13.4,6.4,3.62,3.62,9.79,22.5,51.8,51.8,53.3,213.9,727,727,271.4,2446,0.205,0.205,0.122,0.131,0.184,0.184,0.0787,1.47,0.962174378
Ba2HoTaO6,3,15.9994,15.9994,164.93032,180.9479,137.327,137.327,3.5,3.5,-300,1.33,0.97,0.97,1.738,1.738,0.777,1.071,1.21,1.21,13.61806,13.61806,6.0215,7.5496,5.2117,5.2117,3.44,3.44,1.23,1.5,0.89,0.89,1897,1897,2700,5458,20.6,20.6,11.2,6.3,3.62,3.62,8.8,16.4,51.8,51.8,103,202.1,727,727,1474,3007,0.205,0.205,0.165,0.14,0.184,0.184,0.162,0.575,0.976827925
Ba2InTaO6,3,15.9994,15.9994,114.818,180.9479,137.327,137.327,3.5,3.5,1.49,1.33,0.97,0.97,1.738,1.738,0.777,0.948,1.21,1.21,13.61806,13.61806,5.78636,7.5496,5.2117,5.2117,3.44,3.44,1.78,1.5,0.89,0.89,1897,1897,2072,5458,20.6,20.6,32.1,6.3,3.62,3.62,7.31,16.4,51.8,51.8,28.6,202.1,727,727,156.6,3007,0.205,0.205,0.233,0.14,0.184,0.184,0.816,0.575,1.005814616
Ba2LaNbO6,NaN,15.9994,15.9994,138.9055,92.90638,137.327,137.327,3.5,3.5,1.08,1.23,0.97,0.97,1.738,1.738,0.768,1.218,1.21,1.21,13.61806,13.61806,5.5769,6.75885,5.2117,5.2117,3.44,3.44,1.1,1.6,0.89,0.89,1897,1897,3464,4744,20.6,20.6,12.1,7.3,3.62,3.62,6.15,8.57,51.8,51.8,44.6,323,727,727,918,2477,0.205,0.205,0.195,0.265,0.184,0.184,0.134,0.537,0.946232769
Ba2LaUO6,5,15.9994,15.9994,138.9055,238.02891,137.327,137.327,3.5,3.5,1.08,-300,0.97,0.97,1.738,1.738,0.932,1.218,1.21,1.21,13.61806,13.61806,5.5769,6.19405,5.2117,5.2117,3.44,3.44,1.1,1.7,0.89,0.89,1897,1897,3464,4131,20.6,20.6,12.1,13.9,3.62,3.62,6.15,19.1,51.8,51.8,44.6,38.4,727,727,918,1135,0.205,0.205,0.195,0.116,0.184,0.184,0.134,0.276,0.912276057
Ba2NdUO6,5,15.9994,15.9994,144.24,238.02891,137.327,137.327,3.5,3.5,-300,-300,0.97,0.97,1.738,1.738,0.932,1.151,1.21,1.21,13.61806,13.61806,5.525,6.19405,5.2117,5.2117,3.44,3.44,1.14,1.7,0.89,0.89,1897,1897,3074,4131,20.6,20.6,9.6,13.9,3.62,3.62,7.01,19.1,51.8,51.8,49.5,38.4,727,727,1021,1135,0.205,0.205,0.191,0.116,0.184,0.184,0.165,0.276,0.925849785
Ba2SmUO6,5,15.9994,15.9994,150.36,238.02891,137.327,137.327,3.5,3.5,-300,-300,0.97,0.97,1.738,1.738,0.932,1.134,1.21,1.21,13.61806,13.61806,5.6436,6.19405,5.2117,5.2117,3.44,3.44,1.17,1.7,0.89,0.89,1897,1897,1794,4131,20.6,20.6,12.7,13.9,3.62,3.62,7.52,19.1,51.8,51.8,57.3,38.4,727,727,1074,1135,0.205,0.205,0.196,0.116,0.184,0.184,0.133,0.276,0.929358355
