Compound,X,Xprime,GroupCat,AtomicMassofB,AtomicMassofBprime,AtomicMassofA,AtomicMassofAprime,ARENofB,ARENofBprime,ARENofA,ARENofAprime,r_XIIofA,r_XIIofAprime,r_VIofBprime,r_VIofB,r_VIIofB,CrystalRadiusofA,CrystalRadiusofAprime,CrystalRadiusofBprime,CrystalRadiusofB,IonicRadiiofB,IonicRadiiofBprime,IonicRadiiofA,IonicRadiiofAprime,IonizationPotentialofB,IonizationPotentialofBprime,IonizationPotentialofA,IonizationPotentialofAprime,PaulingENofB,PaulingENofBprime,PaulingENofA,PaulingENofAprime,ZungerRadiiofB,ZungerRadiiofBprime,ZungerRadiiofA,ZungerRadiiofAprime,BoilingPtofA,BoilingPtofAprime,BoilingPtofB,BoilingPtofBprime,CoefficientofLinearThermalExpansionatSpecofA,CoefficientofLinearThermalExpansionatSpecofAprime,CoefficientofLinearThermalExpansionatSpecofB,CoefficientofLinearThermalExpansionatSpecofBprime,DensityatSpecofA,DensityatSpecofAprime,DensityatSpecofB,DensityatSpecofBprime,EnthalpyofFusionofA,EnthalpyofFusionofAprime,EnthalpyofFusionofB,EnthalpyofFusionofBprime,MeltingPtofA,MeltingPtofAprime,MeltingPtofB,MeltingPtofBprime,SpecificHeatCapacityofA,SpecificHeatCapacityofAprime,SpecificHeatCapacityofB,SpecificHeatCapacityofBprime,ThermalHeatConductivityofA,ThermalHeatConductivityofAprime,ThermalHeatConductivityofB,ThermalHeatConductivityofBprime,rA,rB,ToleranceBVP,Vc
Ag2VAsO6,O,O,16,50.9415,74.9216,107.8682,107.8682,1.45,2.02,1.42,1.42,1.551,1.551,0.624,0.66,0.717,1.29,1.29,0.6,0.68,0.54,0.46,1.15,1.15,6.7462,9.7886,7.5762,7.5762,1.63,2.18,1.93,1.93,1.09,0.67,1.045,1.045,2162,2162,3407,-300,18.9,18.9,8.4,-300,10.5,10.5,6,-300,104.6,104.6,422,-300,961.78,961.78,1910,-300,0.235,0.235,0.489,-300,4.29,4.29,0.307,-300,1.551,0.642,1.05416945078621,126.058824758119
Ag2VPO6,O,O,16,50.9415,30.973761,107.8682,107.8682,1.45,2.06,1.42,1.42,1.551,1.551,0.474,0.66,0.717,1.29,1.29,0.52,0.68,0.54,0.38,1.15,1.15,6.7462,10.48669,7.5762,7.5762,1.63,2.19,1.93,1.93,1.09,0.6,1.045,1.045,2162,2162,3407,-300,18.9,18.9,8.4,-300,10.5,10.5,6,-300,104.6,104.6,422,-300,961.78,961.78,1910,-300,0.235,0.235,0.489,-300,4.29,4.29,0.307,-300,1.551,0.567,1.09866168984584,130.921299073685
AgBiO3,O,O,2,208.98038,208.98038,107.8682,107.8682,1.67,1.67,1.42,1.42,1.551,1.551,0.917,0.917,0.974,1.29,1.29,0.9,0.9,0.76,0.76,1.15,1.15,7.2856,7.2856,7.5762,7.5762,1.9,1.9,1.93,1.93,0.92,0.92,1.045,1.045,2162,2162,1564,1564,18.9,18.9,13.4,13.4,10.5,10.5,9.79,9.79,104.6,104.6,53.3,53.3,961.78,961.78,271.4,271.4,0.235,0.235,0.122,0.122,4.29,4.29,0.0787,0.0787,1.551,0.917,0.917875798239801,110.061140087516
AgCuF3,F,F,5,63.546,63.546,107.8682,107.8682,1.75,1.75,1.42,1.42,1.551,1.551,0.875,0.875,0.933,1.29,1.29,0.87,0.87,0.73,0.73,1.15,1.15,7.72638,7.72638,7.5762,7.5762,1.9,1.9,1.93,1.93,0.88,0.88,1.045,1.045,2162,2162,2562,2562,18.9,18.9,16.5,16.5,10.5,10.5,8.96,8.96,104.6,104.6,203.5,203.5,961.78,961.78,1084.62,1084.62,0.235,0.235,0.384,0.384,4.29,4.29,4.01,4.01,1.551,0.875,0.943742515880659,17.9548824231529
AgNbO3,O,O,5,92.90638,92.90638,107.8682,107.8682,1.23,1.23,1.42,1.42,1.551,1.551,0.768,0.768,0.825,1.29,1.29,0.78,0.78,0.64,0.64,1.15,1.15,6.75885,6.75885,7.5762,7.5762,1.6,1.6,1.93,1.93,1.23,1.23,1.045,1.045,2162,2162,4744,4744,18.9,18.9,7.3,7.3,10.5,10.5,8.57,8.57,104.6,104.6,323,323,961.78,961.78,2477,2477,0.235,0.235,0.265,0.265,4.29,4.29,0.537,0.537,1.551,0.768,0.987018110645125,118.226337092389
AgTaS3,S,S,16,180.9479,180.9479,107.8682,107.8682,1.33,1.33,1.42,1.42,1.551,1.551,0.777,0.777,0.834,1.29,1.29,0.78,0.78,0.64,0.64,1.15,1.15,7.5496,7.5496,7.5762,7.5762,1.5,1.5,1.93,1.93,1.28,1.28,1.045,1.045,2162,2162,5458,5458,18.9,18.9,6.3,6.3,10.5,10.5,16.4,16.4,104.6,104.6,202.1,202.1,961.78,961.78,3007,3007,0.235,0.235,0.14,0.14,4.29,4.29,0.575,0.575,1.551,0.777,0.70527770839255,117.698911320461
AgVO3,O,O,11,107.8682,107.8682,50.9415,50.9415,1.42,1.42,1.45,1.45,0.917,0.917,1.295,1.295,1.352,0.68,0.68,1.29,1.29,1.15,1.15,0.54,0.54,7.5762,7.5762,6.7462,6.7462,1.93,1.93,1.63,1.63,1.045,1.045,1.09,1.09,3407,3407,2162,2162,8.4,8.4,18.9,18.9,6,6,10.5,10.5,422,422,104.6,104.6,1910,1910,961.78,961.78,0.489,0.489,0.235,0.235,0.307,0.307,4.29,4.29,0.917,1.295,0.6004056381572,3.74609389086872
AgZnF3,F,F,3,65.409,65.409,107.8682,107.8682,1.66,1.66,1.42,1.42,1.551,1.551,0.9,0.9,0.958,1.29,1.29,0.88,0.88,0.74,0.74,1.15,1.15,9.3942,9.3942,7.5762,7.5762,1.65,1.65,1.93,1.93,0.82,0.82,1.045,1.045,2162,2162,907,907,18.9,18.9,30.2,30.2,10.5,10.5,7.14,7.14,104.6,104.6,108.1,108.1,961.78,961.78,419.53,419.53,0.235,0.235,0.388,0.388,4.29,4.29,1.16,1.16,1.551,0.9,0.932205321309991,17.7452221297721
AlBO3,O,O,13,10.811,10.811,26.981538,26.981538,2.01,2.01,1.47,1.47,0.923,0.923,0.417,0.417,0.475,0.675,0.675,0.41,0.41,-300,-300,0.54,0.54,8.29803,8.29803,5.98577,5.98577,2.04,2.04,1.61,1.61,0.48,0.48,0.77,0.77,2519,2519,-300,-300,23.1,23.1,-300,-300,2.7,2.7,-300,-300,399.9,399.9,-300,-300,660.32,660.32,-300,-300,0.904,0.904,-300,-300,2.37,2.37,-300,-300,0.923,0.417,0.927018293958762,51.558360014302
B2BaTiO6,O,O,12,137.327,47.867,10.811,10.811,0.97,1.32,2.01,2.01,0.674,0.674,0.755,1.481,1.539,0.41,0.41,0.745,1.49,1.35,0.61,-300,-300,5.2117,6.8281,8.29803,8.29803,0.89,1.54,2.04,2.04,1.515,1.15,0.48,0.48,-300,-300,1897,3287,-300,-300,20.6,8.6,-300,-300,3.62,4.51,-300,-300,51.8,295.6,-300,-300,727,1670,-300,-300,0.205,0.522,-300,-300,0.184,0.219,0.674,1.118,0.572246209516948,31.88086702202
