k=3,k=4,k=5,k=6,k=7,
0.527868852,0.550713908,0.592966684,0.5867266,0.569751454,
0.534479112,0.583236383,0.596404019,0.582760444,0.563458488,
0.481967213,0.550396616,0.606187203,0.550185087,0.602168165,
0.553675304,0.566790058,0.608884188,0.557482813,0.602749868,
0.576467478,0.586356425,0.57678477,0.592702274,0.595980962,
0.521099947,0.605817028,0.579799048,0.543839238,0.583024855,
0.534320465,0.570544685,0.586303543,0.576467478,0.537387626,
0.531041777,0.589476467,0.583130619,0.547170809,0.589899524,
0.547382337,0.560074035,0.586620836,0.566790058,0.60586991,
0.540772078,0.566684294,0.586515071,0.543733474,0.530883131,
0.550661026,0.612427287,0.550555262,0.586462189,0.572977261,
0.547435219,0.560655738,0.537070333,0.508461132,0.550343733,
0.501216288,0.530883131,0.579799048,0.576626124,0.557377049,
0.524219989,0.631940772,0.579640402,0.540772078,0.56351137,
0.536964569,0.579957694,0.589635114,0.560126917,0.550237969,
0.553728186,0.570015865,0.599471179,0.602591222,0.553781068,
0.569857218,0.605552618,0.560497091,0.589582232,0.573083025,
0.511263882,0.579534638,0.615388683,0.576414595,0.563458488,
0.517927023,0.592808038,0.540507668,0.583289265,0.560021153,
0.57678477,0.589635114,0.517874141,0.58265468,0.559968271,
0.540401904,0.563670016,0.579693284,0.576679006,0.599312533,
0.51454257,0.553728186,0.566790058,0.595610788,0.573347435,
0.541036489,0.635007932,0.537017451,0.592755156,0.530830249,
0.572765732,0.534320465,0.540772078,0.586092015,0.560232681,
0.528133263,0.563352723,0.570333157,0.589317821,0.589370703,
0.547117927,0.53749339,0.563617134,0.57958752,0.602855632,
0.530830249,0.618773136,0.576467478,0.589582232,0.569857218,
0.4755156,0.573083025,0.586039133,0.547540984,0.59286092,
0.521311475,0.579746166,0.586092015,0.55383395,0.550185087,
0.52781597,0.579957694,0.579693284,0.569698572,0.576996298,
0.556901111,0.566367002,0.605817028,0.586356425,0.570544685,
0.583130619,0.586779482,0.612585933,0.625383395,0.543997885,
0.550079323,0.550661026,0.557324167,0.580010576,0.556478054,
0.5699101,0.579904812,0.599101005,0.576308831,0.576467478,
