".","nnGroupCat","Compound","GroupCat","AtomicMassofX","AtomicMassofXprime","AtomicMassofB","AtomicMassofBprime","AtomicMassofA","AtomicMassofAprime","ARENofX","ARENofXprime","ARENofB","ARENofBprime","ARENofA","ARENofAprime","r_XIIofA","r_XIIofAprime","r_VIofBprime","r_VIofB","rofX","rofXprime","CrystalRadiusofA","CrystalRadiusofAprime","CrystalRadiusofBprime","CrystalRadiusofX","CrystalRadiusofXprime","CrystalRadiusofB","IonicRadiiofX","IonicRadiiofXprime","IonicRadiiofB","IonicRadiiofBprime","IonicRadiiofA","IonicRadiiofAprime","IonizationPotentialofX","IonizationPotentialofXprime","IonizationPotentialofB","IonizationPotentialofBprime","IonizationPotentialofA","IonizationPotentialofAprime","PaulingENofX","PaulingENofXprime","PaulingENofB","PaulingENofBprime","PaulingENofA","PaulingENofAprime","ZungerRadiiofX","ZungerRadiiofXprime","ZungerRadiiofB","ZungerRadiiofBprime","ZungerRadiiofA","ZungerRadiiofAprime","BoilingPtofA","BoilingPtofAprime","BoilingPtofB","BoilingPtofX","BoilingPtofXprime","BoilingPtofBprime","CoefficientofLinearThermalExpansionatSpecofA","CoefficientofLinearThermalExpansionatSpecofAprime","CoefficientofLinearThermalExpansionatSpecofB","CoefficientofLinearThermalExpansionatSpecofBprime","DensityatSpecofA","DensityatSpecofAprime","DensityatSpecofB","DensityatSpecofBprime","EnthalpyofFusionofA","EnthalpyofFusionofAprime","EnthalpyofFusionofB","EnthalpyofFusionofBprime","MeltingPtofA","MeltingPtofAprime","MeltingPtofB","MeltingPtofBprime","SpecificHeatCapacityofA","SpecificHeatCapacityofAprime","SpecificHeatCapacityofB","SpecificHeatCapacityofBprime","ThermalHeatConductivityofA","ThermalHeatConductivityofAprime","ThermalHeatConductivityofB","ThermalHeatConductivityofBprime","rA","rB","rX","ToleranceBVP"
1,"5","AgNbO3",5,15.9994,15.9994,92.90638,92.90638,107.8682,107.8682,3.5,3.5,1.23,1.23,1.42,1.42,1.551,1.551,0.768,0.768,1.21,1.21,1.29,1.29,0.78,1.26,1.26,0.78,1.4,1.4,0.64,0.64,1.15,1.15,13.61806,13.61806,6.75885,6.75885,7.5762,7.5762,3.44,3.44,1.6,1.6,1.93,1.93,0.285,0.285,1.23,1.23,1.045,1.045,2162,2162,4744,-182.962,-182.962,4744,18.9,18.9,7.3,7.3,10.5,10.5,8.57,8.57,104.6,104.6,323,323,961.78,961.78,2477,2477,0.235,0.235,0.265,0.265,4.29,4.29,0.537,0.537,1.551,0.768,1.21,0.987018111
1,"5","Ba2BiIrO6",5,15.9994,15.9994,208.98038,192.217,137.327,137.327,3.5,3.5,1.67,1.55,0.97,0.97,1.738,1.738,0.773,1.14,1.21,1.21,1.49,1.49,0.71,1.26,1.26,1.17,1.4,1.4,1.03,0.57,1.35,1.35,13.61806,13.61806,7.2856,8.967,5.2117,5.2117,3.44,3.44,1.9,2.2,0.89,0.89,0.285,0.285,0.92,1.16,1.515,1.515,1897,1897,1564,-182.962,-182.962,4428,20.6,20.6,13.4,6.4,3.62,3.62,9.79,22.5,51.8,51.8,53.3,213.9,727,727,271.4,2446,0.205,0.205,0.122,0.131,0.184,0.184,0.0787,1.47,1.738,0.9565,1.21,0.962174378
2,"3","Ba2InTaO6",3,15.9994,15.9994,114.818,180.9479,137.327,137.327,3.5,3.5,1.49,1.33,0.97,0.97,1.738,1.738,0.777,0.948,1.21,1.21,1.49,1.49,0.78,1.26,1.26,0.94,1.4,1.4,0.8,0.64,1.35,1.35,13.61806,13.61806,5.78636,7.5496,5.2117,5.2117,3.44,3.44,1.78,1.5,0.89,0.89,0.285,0.285,0.94,1.28,1.515,1.515,1897,1897,2072,-182.962,-182.962,5458,20.6,20.6,32.1,6.3,3.62,3.62,7.31,16.4,51.8,51.8,28.6,202.1,727,727,156.6,3007,0.205,0.205,0.233,0.14,0.184,0.184,0.816,0.575,1.738,0.8625,1.21,1.005814616
2,"3","Ba2YTaO6",3,15.9994,15.9994,88.90585,180.9479,137.327,137.327,3.5,3.5,1.11,1.33,0.97,0.97,1.738,1.738,0.777,1.065,1.21,1.21,1.49,1.49,0.78,1.26,1.26,1.04,1.4,1.4,0.9,0.64,1.35,1.35,13.61806,13.61806,6.2171,7.5496,5.2117,5.2117,3.44,3.44,1.22,1.5,0.89,0.89,0.285,0.285,1.32,1.28,1.515,1.515,1897,1897,3345,-182.962,-182.962,5458,20.6,20.6,10.6,6.3,3.62,3.62,4.47,16.4,51.8,51.8,128,202.1,727,727,1522,3007,0.205,0.205,0.298,0.14,0.184,0.184,0.172,0.575,1.738,0.921,1.21,0.978203093
4,"6","BaCrO3",6,15.9994,15.9994,51.9961,51.9961,137.327,137.327,3.5,3.5,1.56,1.56,0.97,0.97,1.738,1.738,0.75,0.75,1.21,1.21,1.49,1.49,0.69,1.26,1.26,0.69,1.4,1.4,0.55,0.55,1.35,1.35,13.61806,13.61806,6.7665,6.7665,5.2117,5.2117,3.44,3.44,1.66,1.66,0.89,0.89,0.285,0.285,1.07,1.07,1.515,1.515,1897,1897,2671,-182.962,-182.962,2671,20.6,20.6,4.9,4.9,3.62,3.62,7.15,7.15,51.8,51.8,404,404,727,727,1907,1907,0.205,0.205,0.45,0.45,0.184,0.184,0.937,0.937,1.738,0.75,1.21,1.063546322
1,"5","BaPbO3",5,15.9994,15.9994,207.2,207.2,137.327,137.327,3.5,3.5,1.55,1.55,0.97,0.97,1.738,1.738,0.982,0.982,1.21,1.21,1.49,1.49,0.915,1.26,1.26,0.915,1.4,1.4,0.78,0.78,1.35,1.35,13.61806,13.61806,7.41666,7.41666,5.2117,5.2117,3.44,3.44,1.8,1.8,0.89,0.89,0.285,0.285,0.96,0.96,1.515,1.515,1897,1897,1749,-182.962,-182.962,1749,20.6,20.6,28.9,28.9,3.62,3.62,11.3,11.3,51.8,51.8,23.1,23.1,727,727,327.46,327.46,0.205,0.205,0.127,0.127,0.184,0.184,0.353,0.353,1.738,0.982,1.21,0.9509812
3,"16","Bi2NiMnO6",16,15.9994,15.9994,58.6934,54.938049,208.98038,208.98038,3.5,3.5,1.75,1.6,1.67,1.67,1.397,1.397,0.693,0.85,1.21,1.21,1.17,1.17,0.67,1.26,1.26,0.83,1.4,1.4,0.69,0.53,1.03,1.03,13.61806,13.61806,7.6398,7.43402,7.2856,7.2856,3.44,3.44,1.91,1.55,1.9,1.9,0.285,0.285,0.96,0.99,0.92,0.92,1564,1564,2913,-182.962,-182.962,2061,13.4,13.4,13.4,21.7,9.79,9.79,8.9,7.3,53.3,53.3,290.3,235,271.4,271.4,1455,1246,0.122,0.122,0.445,0.479,0.0787,0.0787,0.907,0.0782,1.397,0.7715,1.21,0.930319141
1,"5","BiMnO3",5,15.9994,15.9994,54.938049,54.938049,208.98038,208.98038,3.5,3.5,1.6,1.6,1.67,1.67,1.397,1.397,0.806,0.806,1.21,1.21,1.17,1.17,0.72,1.26,1.26,0.72,1.4,1.4,0.58,0.58,1.03,1.03,13.61806,13.61806,7.43402,7.43402,7.2856,7.2856,3.44,3.44,1.55,1.55,1.9,1.9,0.285,0.285,0.99,0.99,0.92,0.92,1564,1564,2061,-182.962,-182.962,2061,13.4,13.4,21.7,21.7,9.79,9.79,7.3,7.3,53.3,53.3,235,235,271.4,271.4,1246,1246,0.122,0.122,0.479,0.479,0.0787,0.0787,0.0782,0.0782,1.397,0.806,1.21,0.914398501
1,"5","Ca2NiOsO6",5,15.9994,15.9994,58.6934,190.23,40.078,40.078,3.5,3.5,1.75,1.52,1.04,1.04,1.42,1.42,0.82,0.85,1.21,1.21,1.14,1.14,0.685,1.26,1.26,0.83,1.4,1.4,0.69,0.55,1,1,13.61806,13.61806,7.6398,8.4382,6.11316,6.11316,3.44,3.44,1.91,2.2,1,1,0.285,0.285,0.96,1.17,1.32,1.32,1484,1484,2913,-182.962,-182.962,5012,22.3,22.3,13.4,5.1,1.54,1.54,8.9,22.59,213.1,213.1,290.3,304.1,842,842,1455,3033,0.646,0.646,0.445,0.13,2,2,0.907,0.876,1.42,0.835,1.21,0.909384271
1,"5","CaCrO3",5,15.9994,15.9994,51.9961,51.9961,40.078,40.078,3.5,3.5,1.56,1.56,1.04,1.04,1.42,1.42,0.75,0.75,1.21,1.21,1.14,1.14,0.69,1.26,1.26,0.69,1.4,1.4,0.55,0.55,1,1,13.61806,13.61806,6.7665,6.7665,6.11316,6.11316,3.44,3.44,1.66,1.66,1,1,0.285,0.285,1.07,1.07,1.32,1.32,1484,1484,2671,-182.962,-182.962,2671,22.3,22.3,4.9,4.9,1.54,1.54,7.15,7.15,213.1,213.1,404,404,842,842,1907,1907,0.646,0.646,0.45,0.45,2,2,0.937,0.937,1.42,0.75,1.21,0.948821854
